genomeAcc	bioprojectID	bioprojectTitle	bioprojectDec	bioprojectFlags	bioprojectHabitat	biosampleID	biosampleTitle	biosampleLocation	biosampleSource	biosampleEnvs	biosampleFlags	biosampleHabitat	sumHabitat	accession	checkm_completeness	checkm_contamination	contig_count	n50_scaffolds	genome_size	gtdb_taxonomy	gtdb_representative
GCA_021413765.1	PRJNA757735	Microbial communities associated with aster-like nanoparticles (ALNs) Genome sequencing and assembly	Microbial communities drawn from Lake Fargette (France) were incubated for a period of 31 months. At the end of the experiment, DNA and RNA were extracted and sequenced with Illumina NovaSeq. Subsequently, genomes from metagenomes were assembled and binned from metagenomic DNA.	Freshwater,Metagenome	FW	SAMN20994864	MIMAG Metagenome-assembled Genome sample from Betaproteobacteria bacterium	France: Neuville, Lake Fargette	size-fractionated lake water incubated for 31 months	freshwater lake microbiome|not applicable|not applicable	Freshwater,Metagenome,Aqua	FW	FW	GB_GCA_021413765.1	89.87	2.2	172	22696	2525574	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp021413765	t
GCA_903906845.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6948800	MAG Erken-D7_bin-0141 from assembly ERS4600398	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903906845.1	92.89	0.47	84	38115	1347452	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_016714885.1	PRJNA629478	Activated sludge metagenome Genome sequencing and assembly	This project encompasses data from the MiDAS genomes project, recovery of >1000 high-quality metagenome-assembled genomes. The project is funded by the Villum Foundation, Denmark. The associated sample metagenomes are from 23 Danish wastewater treatment plants. Both Illumina and Oxford Nanopore data are submitted.	Modified,Metagenome	Modified	SAMN16426323	MIMAG Metagenome-assembled Genome sample from Nitrosomonadales bacterium	Denmark: Odense NE	activated sludge from OdNE_18-Q3-R46-58	aquatic biome [ENVO:00002030]|Waste Water [ENVO:00002001]|Activated Sludge [ENVO:00002046]	Modified,Metagenome,Aqua	Modified	Modified	GB_GCA_016714885.1	94.39	4.34	35	191907	2960901	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp016721605	f
GCA_947469295.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112174652	RH-14apr17-528	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW	GB_GCA_947469295.1	65.05	1.27	83	13661	832058	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_947497565.1	PRJNA428721	Freshwater metagenomes from Lake Zurich, Switzerland	Lake Zurich is a large (68km2), deep (136m), prealpine lake in Switzerland. This study describes the microbial communities of the Lake using high throughput sequencing. Water samples from different times and different depths representing the epi- and hypolimnion were taken at the deepest part of the lake (47°18’ N 8°34’ E). 1-4 L of water were prefiltered through a plankton net (20 μm) and a 5-μm filter and then filtered onto polysulfone filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm filter (small, planktonic fraction) to obtain genomic DNA of the microbial community.	Freshwater,Aqua,Metagenome	FW	SAMEA112176699	ZH-13may13-27	Switzerland	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW	GB_GCA_947497565.1	58.02	0	27	43491	852995	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_945874105.1	PRJEB35640	Freshwater metagenomes from different European and Asian lakes	This study describes the microbial communities of different lakes in Europe and Asia using high throughput sequencing. Water samples from different depths representing the epi- and hypolimnion were taken at the deepest part of the lakes. 1-4 L of water were prefiltered through a plankton net (20 μm) and a 5-μm filter and then filtered onto polysulfone filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm filter (small, planktonic fraction) to obtain genomic DNA of the microbial community.	Freshwater,Aqua,Metagenome	FW	SAMEA110379994	ERS4065090	Czech Republic	Freshwater lake	freshwater lake|fresh water|lake	Freshwater,Metagenome	FW	FW	GB_GCA_945874105.1	97.24	0.47	50	71777	2498787	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp945874105	t
GCA_903913875.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6952216	MAG KR_bin-1684 from assembly ERS4649290	Finland|Evo	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903913875.1	71.53	0.98	190	6847	1051313	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_903820545.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6946516	MAG Erken-D6_bin-0695 from assembly ERS4600397	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903820545.1	71.56	0	32	129770	995795	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_016721605.1	PRJNA629478	Activated sludge metagenome Genome sequencing and assembly	This project encompasses data from the MiDAS genomes project, recovery of >1000 high-quality metagenome-assembled genomes. The project is funded by the Villum Foundation, Denmark. The associated sample metagenomes are from 23 Danish wastewater treatment plants. Both Illumina and Oxford Nanopore data are submitted.	Modified,Metagenome	Modified	SAMN16426478	MIMAG Metagenome-assembled Genome sample from Nitrosomonadales bacterium	Denmark: Skive	activated sludge from Skiv_18-Q3-R9-52	aquatic biome [ENVO:00002030]|Waste Water [ENVO:00002001]|Activated Sludge [ENVO:00002046]	Modified,Metagenome,Aqua	Modified	Modified	GB_GCA_016721605.1	91.31	1.41	38	124646	2750001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp016721605	t
GCA_013521105.1	PRJNA636190	freshwater metagenome	Shotgun metagenome sequences collected from each five Laurentian Great Lakes collected during the US EPA Great Lakes National Program Office Spring and Summer Surveys aboard the R/V Lake Guardian	Freshwater,Metagenome,Spring	Spring	SAMN15217022	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	USA: Lake Erie	freshwater lake Midhypolimnion	lake|offshore|water column	Freshwater,Metagenome,Aqua	FW	Spring	GB_GCA_013521105.1	89.94	0.47	35	81278	1316113	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_947471025.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112174961	RH-18aug17-350	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW	GB_GCA_947471025.1	91.68	0.66	148	18932	2078774	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp947475825	f
GCA_003402315.1	PRJNA437159	freshwater metagenome Genome sequencing and assembly	Enrichment culture metagenomes of nitrifiers enriched from freshwater sediment and water column samples from rivers in Colorado, USA.	Freshwater,Metagenome,Aqua,Sediment,Modified	Modified	SAMN09011956	MIGS Cultured Bacterial/Archaeal sample from Candidatus Nitrotoga sp. LAW	USA:Colorado, Denver, Cherry Creek underneath Larimer street bridge	Sediment of Cherry Creek; enriched in culture for about 1.5 years	sediment permeated by freshwater|creek sediment|sediment	Sediment,Freshwater,Metagenome	FWSed.	Modified	GB_GCA_003402315.1	98.18	0.3	33	123222	2814534	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp003402315	t
GCA_030681575.1	PRJNA700657	Alberta groundwater Metagenome	Investigate the microbial diversity and functions in the Alberta groundwater	Groundwater,Metagenome	GW	SAMN36729490	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater	Groundwater,Metagenome	GW	GW	GB_GCA_030681575.1	94.87	0.3	90	45049	2799050	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp003402375	f
GCA_927904885.1	PRJEB48217	Physiological and genomic characterization of five cold-tolerant nitrite-oxidizing Nitrotoga strains	Chemolithoautotrophic production of nitrate is accomplished by the polyphyletic functional group of nitrite-oxidizing bacteria (NOB). A widely distributed and important NOB type in cold nitrogen removal systems is Nitrotoga, which however remains understudied due to the scarcity of cultivated representatives. Here, we present genomic features of five Nitrotoga strains from various habitats, including the first obligate marine species enriched from an aquaculture system. Comparative analysis of the Nitrotoga genomes showed, e.g., a unique gene repertoire of the marine strain that could be advantageous in its natural habitat and confirmed the lack of genes for assimilatory nitrite reduction in a strain found to require ammonium for growth. Overall, these data largely broaden our knowledge of Nitrotoga and elucidates the ecological role of this group of nitrite oxidizers.	Extreme,Marine	Marine	SAMEA12177564	Candidatus Nitrotoga sp. M5		carrier material marine RAS		Marine,Aqua	Marine	Marine	RS_GCF_927904885.1	97.71	0.55	91	85568	3448705	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp927904885	t
GCA_013521075.1	PRJNA636190	freshwater metagenome	Shotgun metagenome sequences collected from each five Laurentian Great Lakes collected during the US EPA Great Lakes National Program Office Spring and Summer Surveys aboard the R/V Lake Guardian	Freshwater,Metagenome,Spring	Spring	SAMN15216877	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	USA: Lake Huron	freshwater lake Midhypolimnion	lake|offshore|water column	Freshwater,Metagenome,Aqua	FW	Spring	GB_GCA_013521075.1	94.47	0	39	59867	1384527	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_947496005.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112176730	ZH-15may19-102	Switzerland	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW	GB_GCA_947496005.1	51	0.24	22	49238	783446	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_026399695.1	PRJNA852163	Microbial communities from the meromictic Lac Pavin	Microbial communities from the water column and shallow sediments of Lac Pavin (France) were sampled across a three year time course (2017-2019). DNA was extracted and sequenced with Illumina HiSeq/NovaSeq. Subsequently, bacterial, archaeal, and viral genomes from metagenomes were assembled, binned, and characterized.	Aqua,Sediment,Metagenome	Others	SAMN30026399	MIMAG Metagenome-assembled Genome sample from Pseudomonadota bacterium	France: Besse-et-Saint-Anastaise, Lac Pavin	lake water column	lake water column microbiome|not applicable|not applicable	Metagenome,Freshwater,Aqua	FW	FWSed.	GB_GCA_026399695.1	87.24	0.06	93	25959	1228018	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_943331975.2	PRJEB52406	High resolution sampling of freshwater reservoir in Czech Republic	A high-resolution sampling of Rimov reservoir during the spring of 2018.Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )	Freshwater,Spring	Spring	SAMEA14434446	ERS11712879	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water	Freshwater,Metagenome	FW	Spring	GB_GCA_943331975.2	78.02	0.47	143	7735	1041986	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
